datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2025-05-30T06:45:24.259289Z,2025-05-30,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,65,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,a43a78e2-659d-4a3d-bbd0-4add6b4cb6c5,,,,
2025-06-01T07:01:01.038586Z,2025-06-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.07,,-0.03,EUR,,,,Interest payment Booking,8b7d4dde-75c5-4a38-98c9-6464fc3a1a3a,,,,
2025-06-02T09:02:12.161Z,2025-06-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,5,5.421,-27.11,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 5",39346279-d38c-4f14-8931-788761b5a544,,,,
2025-06-02T09:30:18.359Z,2025-06-02,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,1,16.045,-16.05,,-0.06,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 1",852a6e4d-2d78-4327-bbaa-cf142a7eefc9,,,,
2025-06-02T09:48:45.621Z,2025-06-02,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,19.06,-19.06,,-0.08,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",8dc7f55a-9d53-424d-a737-fac688ef2d30,,,,
2025-06-02T10:54:26.796668Z,2025-06-02,PEA,CASH,TRANSFER_IN,,,,,,26.01,,,EUR,,,,Versement PEA,03655a9e-d16b-4fc2-8c72-448a692828d4,,,,
2025-06-02T10:54:26.751166Z,2025-06-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-26.01,,,EUR,,,,Versement PEA,1bb683b5-6a60-4e0d-82d3-55bdf877f3d2,,,,
2025-06-02T10:57:24.129584Z,2025-06-02,PEA,CASH,TRANSFER_IN,,,,,,16.11,,,EUR,,,,Versement PEA,f7f8fa6b-0607-417d-977c-c9b858dbc7f6,,,,
2025-06-02T11:06:19.629432Z,2025-06-02,PEA,CASH,TRANSFER_IN,,,,,,19.14,,,EUR,,,,Versement PEA,a12e499f-d655-4353-b374-e18c587773b8,,,,
2025-06-02T11:06:19.596842Z,2025-06-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-19.14,,,EUR,,,,Versement PEA,6d3fd13d-a63b-4595-b99e-581f5084a976,,,,
2025-06-02T10:57:24.095417Z,2025-06-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-16.11,,,EUR,,,,Versement PEA,89b64097-c98d-4954-be93-473c0bcbb321,,,,
2025-06-30T07:25:06.999109Z,2025-06-30,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,65,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,42268a33-eceb-42e4-9b60-bc48a240ba39,,,,
2025-07-01T01:11:33.293728Z,2025-07-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.08,,-0.03,EUR,,,,Interest payment for payout collection fb9cd89d-b17b-4344-9d88-80ded61442dc,0e0c26f8-7628-4d5b-aecd-4d3ef484233a,,,,
2025-07-02T09:01:50.894Z,2025-07-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,5,5.508,-27.54,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 5",711e8da0-0604-4839-9ce0-ea8091883d33,,,,
2025-07-02T09:08:54.706Z,2025-07-02,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,1,16.285,-16.29,,-0.07,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 1",1e2548e1-3b55-4f9d-ad87-63c252f0b63f,,,,
2025-07-02T09:38:09.392Z,2025-07-02,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,19.96,-19.96,,-0.08,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",f1334af0-30d3-46bb-aa60-775628dee7e9,,,,
2025-07-02T10:04:44.995171Z,2025-07-02,PEA,CASH,TRANSFER_IN,,,,,,27.54,,,EUR,,,,Versement PEA,94789bcb-f58e-4ced-b615-72ae924b4255,,,,
2025-07-02T10:14:45.729632Z,2025-07-02,PEA,CASH,TRANSFER_IN,,,,,,16.36,,,EUR,,,,Versement PEA,b1d4f8ee-90ef-44f6-b013-e88060a6b3a2,,,,
2025-07-02T10:04:45.064529Z,2025-07-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-27.54,,,EUR,,,,Versement PEA,8ad4b8fd-c95d-4fc0-bae4-a7f0cee3b8c8,,,,
2025-07-02T10:34:56.980833Z,2025-07-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-20.04,,,EUR,,,,Versement PEA,4b036152-68e5-44a2-84a0-548611a86575,,,,
2025-07-02T10:14:45.812418Z,2025-07-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-16.36,,,EUR,,,,Versement PEA,3e8ea87c-6333-4201-a653-44c849cf95c9,,,,
2025-07-02T10:34:56.893214Z,2025-07-02,PEA,CASH,TRANSFER_IN,,,,,,20.04,,,EUR,,,,Versement PEA,d9150e13-21a9-4c7d-949b-71bfe837e305,,,,
2025-07-30T06:33:27.927922Z,2025-07-30,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,65,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,642f77f2-ef5c-4083-bbaa-6ad38b06a50c,,,,
2025-08-01T13:03:11.051069Z,2025-08-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.08,,-0.03,EUR,,,,Interest payment for payout collection 01986328-8b05-78d7-b5c0-438506fa108c,88f68d3a-90e8-41a3-b0bd-4cea2de50e8f,,,,
2025-08-04T08:41:25.107Z,2025-08-04,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,5,5.648,-28.24,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 5",e2ec067b-d339-4eed-a3c4-4b893674d5d8,,,,
2025-08-04T09:00:04.929Z,2025-08-04,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,2,16.08,-32.16,,-0.13,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 2",7538394b-e864-4830-8830-dbc3ec2d075d,,,,
2025-08-04T09:29:18.084Z,2025-08-04,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,2,19.08,-38.16,,-0.15,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 2",03be8467-4978-4086-a257-242e09f96779,,,,
2025-08-04T09:56:07.410733Z,2025-08-04,DEFAULT,CASH,TRANSFER_OUT,,,,,,-28.24,,,EUR,,,,Versement PEA,f96d9e96-8903-4845-b129-eff2ffe6d1ab,,,,
2025-08-04T10:49:13.582960Z,2025-08-04,PEA,CASH,TRANSFER_IN,,,,,,32.29,,,EUR,,,,Versement PEA,826a5755-7b06-44bb-9e06-ea304f0ead41,,,,
2025-08-04T10:49:13.664142Z,2025-08-04,DEFAULT,CASH,TRANSFER_OUT,,,,,,-32.29,,,EUR,,,,Versement PEA,a0ea59e4-0f01-477d-90d1-c79921b4f7fb,,,,
2025-08-04T10:57:42.007344Z,2025-08-04,DEFAULT,CASH,TRANSFER_OUT,,,,,,-38.31,,,EUR,,,,Versement PEA,9875f58d-4c2c-4ff1-89ec-6d481fbb773c,,,,
2025-08-04T10:57:41.965717Z,2025-08-04,PEA,CASH,TRANSFER_IN,,,,,,38.31,,,EUR,,,,Versement PEA,9f2b3734-a939-4228-868f-fdaf78e4c861,,,,
2025-08-04T09:56:07.500928Z,2025-08-04,PEA,CASH,TRANSFER_IN,,,,,,28.24,,,EUR,,,,Versement PEA,4977cac8-2c97-4cad-acc0-81c7c7adf45a,,,,
2025-08-29T06:52:57.381417Z,2025-08-29,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,80,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,07d70661-1f85-4ae9-8fb6-ac490b456043,,,,
2025-09-01T11:12:44.569295Z,2025-09-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.04,,-0.01,EUR,,,,Interest payment for payout collection 019902c8-8e7c-70ee-a158-90db99bb6ff9,74a7b820-4838-4e6f-8952-a64b42b08a64,,,,
2025-09-02T08:43:03.612Z,2025-09-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,5,5.744,-28.72,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 5",47881e38-142f-43a4-ad98-41fac3680ffa,,,,
2025-09-02T09:11:29.853Z,2025-09-02,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,2,15.425,-30.85,,-0.12,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 2",d1e45a1b-ec43-45da-8b7b-f229109e2ea8,,,,
2025-09-02T09:31:15.514Z,2025-09-02,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,17.44,-17.44,,-0.07,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",8314a42f-e769-487b-b4d3-416e95a3924d,,,,
2025-09-02T10:02:10.923277Z,2025-09-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-30.97,,,EUR,,,,Versement PEA,57b0652f-6511-4a2c-ba47-2a312abaf798,,,,
2025-09-02T09:29:53.952544Z,2025-09-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-28.72,,,EUR,,,,Versement PEA,c2cb9dc3-f16c-4dce-aedb-e70056462f71,,,,
2025-09-02T10:18:25.993629Z,2025-09-02,PEA,CASH,TRANSFER_IN,,,,,,17.51,,,EUR,,,,Versement PEA,837413b8-eed2-4e1e-9ed8-3b87a5234881,,,,
2025-09-02T10:18:26.136566Z,2025-09-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-17.51,,,EUR,,,,Versement PEA,5f1e6d93-1d30-46fa-907e-8af2729f11f7,,,,
2025-09-02T09:29:55.735738Z,2025-09-02,PEA,CASH,TRANSFER_IN,,,,,,28.72,,,EUR,,,,Versement PEA,fc2937fb-4fea-4577-957c-c5791115198b,,,,
2025-09-02T10:02:10.899464Z,2025-09-02,PEA,CASH,TRANSFER_IN,,,,,,30.97,,,EUR,,,,Versement PEA,d72bbcbd-57ff-42e8-ac18-46bf1ce7ae2f,,,,
2025-09-15T19:29:39.877438Z,2025-09-15,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,100,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,4192d367-8536-4d09-8dbd-c4213b88defd,,,,
2025-09-15T15:55:27.118240Z,2025-09-15,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,10,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,39c2ad00-43be-404f-96d5-3e984895ef3b,,,,
2025-09-16T08:25:24.599625Z,2025-09-16,DEFAULT,CASH,CARD_TRANSACTION,,COINBASE RTL-SQJKRL3Q,,,,-10,,,EUR,,,,COINBASE RTL-SQJKRL3Q,c5568a3a-68a8-43de-ad24-0b0ef0c7c38c,,,,6051
2025-09-29T07:08:20.573302Z,2025-09-29,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,80,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,f362b794-cd57-4624-9569-a951fb449078,,,,
2025-10-01T01:15:53.486672Z,2025-10-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.11,,-0.03,EUR,,,,Interest payment for payout collection 01999d3b-c0f4-74d3-ba6a-0ba4831584ad,fc430290-eaf0-4f37-bf0a-ebc2ad47d46c,,,,
2025-10-01T06:30:24.587191Z,2025-10-01,DEFAULT,CASH,CARD_TRANSACTION,,COINBASE,,,,-20,,,EUR,,,,COINBASE,a665b781-97e0-4409-b3bd-a10a485369cf,,,,6051
2025-10-02T09:00:15.377Z,2025-10-02,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,5,5.95,-29.75,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 5",241a6883-6b96-4b22-8c38-e26e1d679eb3,,,,
2025-10-02T09:14:34.750Z,2025-10-02,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,1,17.095,-17.1,,-0.07,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 1",74283707-b13e-4b4f-83c0-ea8bcbd5514b,,,,
2025-10-02T09:20:43.841039Z,2025-10-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-17.17,,,EUR,,,,Versement PEA,6c460a44-949d-4f92-9f0b-9451fb8f7a4c,,,,
2025-10-02T09:00:57.691727Z,2025-10-02,PEA,CASH,TRANSFER_IN,,,,,,29.75,,,EUR,,,,Versement PEA,e921d01f-29da-4739-8d1a-1f6ab855b2c9,,,,
2025-10-02T09:20:43.861478Z,2025-10-02,PEA,CASH,TRANSFER_IN,,,,,,17.17,,,EUR,,,,Versement PEA,9d9980e3-3c74-47aa-9f30-bf7d3eb7794f,,,,
2025-10-02T09:35:56.631Z,2025-10-02,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,18.56,-18.56,,-0.07,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",32f76b39-2834-4f46-bfc3-c65da2b17b4f,,,,
2025-10-02T09:36:05.581295Z,2025-10-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-18.63,,,EUR,,,,Versement PEA,11622957-a3dc-4597-9fcf-64d627e92505,,,,
2025-10-02T09:36:05.621297Z,2025-10-02,PEA,CASH,TRANSFER_IN,,,,,,18.63,,,EUR,,,,Versement PEA,ff5de3db-73db-40f6-91e2-ab59082883d4,,,,
2025-10-02T09:00:57.657504Z,2025-10-02,DEFAULT,CASH,TRANSFER_OUT,,,,,,-29.75,,,EUR,,,,Versement PEA,232b0cd9-cfe6-4f99-8a53-3a4a2dda8e9d,,,,
2025-10-06T09:13:47.277Z,2025-10-06,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,6,16.19,-97.14,-0.49,-0.39,EUR,,,,"Buy trade FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 6",0ee0a617-c154-4cda-94d2-f3586174e7f2,,,,
2025-10-06T09:13:51.949376Z,2025-10-06,DEFAULT,CASH,TRANSFER_OUT,,,,,,-98.02,,,EUR,,,,Versement PEA,d1256278-37b7-4f72-8c94-9ed478665c2d,,,,
2025-10-06T09:13:51.984317Z,2025-10-06,PEA,CASH,TRANSFER_IN,,,,,,98.02,,,EUR,,,,Versement PEA,54656c36-69fc-4207-8399-25fed955fed8,,,,
2025-10-11T22:22:03.481287Z,2025-10-12,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,20,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,70c1ede8-14c3-4fb2-be59-32c03cee7ae0,,,,
2025-10-12T11:20:27.341963Z,2025-10-12,DEFAULT,CASH,CARD_TRANSACTION,,COINBASE RTL-UCS2CWWU,,,,-25,,,EUR,,,,COINBASE RTL-UCS2CWWU,ee9ceaf0-11fe-4a73-89da-365d02e56d2b,,,,6051
2025-10-29T07:38:48.506319Z,2025-10-29,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,80,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,71dd58b2-90f1-486c-9ae9-243f2a022402,,,,
2025-10-30T15:39:06.265Z,2025-10-30,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,10,15.54,-155.4,-0.78,-0.62,EUR,,,,"Buy trade FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 10",d4fac624-fd74-4117-9f74-ea515f75a01b,,,,
2025-10-30T15:39:16.459958Z,2025-10-30,PEA,CASH,TRANSFER_IN,,,,,,156.8,,,EUR,,,,Versement PEA,aba9eb12-01c7-4db4-a886-af97cab89472,,,,
2025-10-30T15:36:29.302846Z,2025-10-30,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,160,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,8c89fd07-65c1-46fd-8da7-87ce9937324d,,,,
2025-10-30T15:39:16.364214Z,2025-10-30,DEFAULT,CASH,TRANSFER_OUT,,,,,,-156.8,,,EUR,,,,Versement PEA,f2406036-9c52-4ad5-b73b-1deddcfb7610,,,,
2025-11-01T02:10:54.801587Z,2025-11-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.05,,-0.01,EUR,,,,Interest payment for payout collection 019a3d23-c239-7bca-9e76-3a965699999f,1846ec31-9df6-485f-8694-c76270d0d18a,,,,
2025-11-03T10:06:57.168Z,2025-11-03,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,6,6.168,-37.01,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 6",c6ab5227-6f5c-45a9-b5be-1306e9dd579a,,,,
2025-11-03T10:17:30.328Z,2025-11-03,PEA,TRADING,BUY,STOCK,Cr̩dit Agricole,FR0000045072,1,15.695,-15.7,,-0.06,EUR,,,,"Savings plan execution FR0000045072 CREDIT AGRICOLE INH. EO 3, quantity: 1",f4b6ed48-8979-4ebc-8c4a-5ef5e8f577b0,,,,
2025-11-03T10:22:37.761892Z,2025-11-03,PEA,CASH,TRANSFER_IN,,,,,,15.76,,,EUR,,,,Versement PEA,f76876b8-0a20-4e22-8db9-fdb5e7f276ef,,,,
2025-11-03T10:26:51.394723Z,2025-11-03,PEA,CASH,TRANSFER_IN,,,,,,37.01,,,EUR,,,,Versement PEA,bde9a91e-f6b9-40b4-9236-37a69c524e95,,,,
2025-11-03T10:42:55.603Z,2025-11-03,PEA,TRADING,BUY,STOCK,Engie,FR0010208488,1,20.45,-20.45,,-0.08,EUR,,,,"Savings plan execution FR0010208488 ENGIE S.A. INH.      EO 1, quantity: 1",c45b8f75-8c51-4612-a473-614c2938ac13,,,,
2025-11-03T10:43:10.922871Z,2025-11-03,DEFAULT,CASH,TRANSFER_OUT,,,,,,-20.53,,,EUR,,,,Versement PEA,543c3ba4-625b-43dd-a2cd-aa39987a90bb,,,,
